City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
629,Tevaitoa,PF,-16.7833,-151.5,81.84,70,78,5.41,broken clouds
630,Bardiyah,LY,31.7561,25.0865,55.35,60,64,7.9,broken clouds
631,Sorland,NO,67.667,12.6934,39.2,87,75,10.36,broken clouds
632,Estelle,US,29.8458,-90.1067,73.4,100,40,5.75,scattered clouds
633,Surt,LY,31.2089,16.5887,59.43,67,0,8.7,clear sky
634,Moose Factory,CA,51.2585,-80.6094,39.2,52,90,16.11,overcast clouds
635,Fairview,US,40.8126,-73.999,50.0,76,1,5.75,clear sky
636,Te Anau,NZ,-45.4167,167.7167,56.84,74,26,6.89,scattered clouds
637,Pafos,CY,34.7667,32.4167,51.01,81,20,9.22,few clouds
638,Gazojak,TM,41.1875,61.4036,48.65,40,74,6.4,broken clouds
639,Jacareacanga,BR,-6.2222,-57.7528,72.73,98,100,1.83,light rain
640,Kulhudhuffushi,MV,6.6221,73.07,83.05,69,60,0.65,broken clouds
641,Saint-Francois,FR,46.4154,3.9054,42.01,93,0,2.3,clear sky
642,Novyy Urengoy,RU,66.0833,76.6333,-9.92,84,8,4.54,clear sky
643,Caetite,BR,-14.0694,-42.475,74.46,42,100,1.97,overcast clouds
644,Novo Aripuana,BR,-5.1206,-60.3797,72.88,98,98,1.99,overcast clouds
645,Badvel,IN,14.75,79.05,89.6,55,20,10.36,haze
646,Wenchi,GH,7.7392,-2.1046,73.27,82,43,5.59,scattered clouds
647,Chiguayante,CL,-36.9167,-73.0167,55.4,94,90,5.75,mist
648,Port Blair,IN,11.6667,92.75,84.6,65,99,4.5,overcast clouds
649,Atagay,RU,55.1033,99.3875,33.57,49,68,10.87,broken clouds
650,Broken Hill,AU,-31.95,141.4333,77.0,15,1,8.05,clear sky
651,Rakke,EE,58.9817,26.2544,39.15,97,97,3.98,light rain
652,Manado,ID,1.487,124.8455,87.8,70,40,9.22,scattered clouds
653,Platteville,US,42.7342,-90.4785,39.0,52,1,17.27,clear sky
654,Kabompo,ZM,-13.5927,24.2008,61.36,93,100,4.81,overcast clouds
655,Tadine,NC,-21.55,167.8833,79.27,72,100,14.45,overcast clouds
656,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.7,81,73,6.38,broken clouds
657,Hirado,JP,33.3597,129.5531,68.0,34,0,5.75,clear sky
658,Bambanglipuro,ID,-7.95,110.2833,84.36,75,96,10.51,overcast clouds
659,Gejiu,CN,23.306,103.1635,75.07,17,14,19.08,few clouds
660,Rudnogorsk,RU,57.2639,103.7519,28.02,72,100,12.73,overcast clouds
661,Hualmay,PE,-11.0964,-77.6139,68.95,86,94,6.08,overcast clouds
662,Katangli,RU,51.7102,143.2326,31.33,82,100,8.81,overcast clouds
663,Malaya Vishera,RU,58.8454,32.2222,40.15,91,100,6.87,overcast clouds
664,Umm Kaddadah,SD,13.6017,26.6876,65.79,16,42,15.64,scattered clouds
665,Motygino,RU,58.1831,94.7592,24.57,82,100,11.88,light snow
666,Borger,NL,52.9233,6.7931,45.0,100,0,1.14,clear sky
667,Allapalli,IN,19.4167,80.0667,101.95,9,6,7.61,clear sky
668,Nizhnyaya Poyma,RU,56.1622,97.1933,31.3,65,100,15.23,overcast clouds
669,Torbeyevo,RU,54.0797,43.2473,30.74,86,100,17.96,overcast clouds
670,Arona,ES,28.0996,-16.681,63.0,72,20,12.66,few clouds
671,Tokonou,GN,9.65,-9.7833,74.17,71,73,5.3,broken clouds
672,Tolga,DZ,34.7222,5.3785,60.8,48,75,4.61,broken clouds
673,Huangnihe,CN,43.5583,128.0239,56.07,26,70,4.9,broken clouds
674,Isangel,VU,-19.55,169.2667,82.4,89,90,9.22,overcast clouds
675,Knysna,ZA,-34.0363,23.0471,55.4,94,0,3.44,clear sky
676,Pong,TH,19.1493,100.2752,89.6,51,53,4.61,haze
677,Fort-Shevchenko,KZ,44.5086,50.263,42.78,54,10,12.75,clear sky
678,Ostersund,SE,63.1792,14.6357,32.0,93,40,11.5,scattered clouds
679,Aguai,BR,-22.0594,-46.9786,65.17,92,31,0.94,scattered clouds
680,Sobolevo,RU,54.4299,31.8996,44.33,98,100,9.46,overcast clouds
681,Almaznyy,RU,48.0448,40.045,37.4,87,0,17.9,clear sky
682,Jumla,NP,29.2747,82.1838,64.36,19,4,4.38,clear sky
