City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Vardo,70.3705,31.1107,39.2,81,75,12.66,NO,2021-03-29 15:44:08
60,Hobart,-42.8794,147.3294,52.0,81,90,3.87,AU,2021-03-29 15:43:33
61,Ribeira Grande,38.5167,-28.7,59.0,94,75,18.41,PT,2021-03-29 15:43:53
62,Jaguaquara,-13.5306,-39.9708,91.35,21,29,6.51,BR,2021-03-29 15:44:57
63,Kuytun,54.3419,101.5036,27.5,98,100,1.61,RU,2021-03-29 15:44:58
64,Ixtapa,20.7,-105.2,68.0,73,75,4.61,MX,2021-03-29 15:44:58
65,Puerto Ayacucho,5.6639,-67.6236,89.94,53,86,2.37,VE,2021-03-29 15:44:58
66,Puerto Ayora,-0.7393,-90.3518,81.0,83,40,10.36,EC,2021-03-29 15:43:43
67,Yaan,7.3833,8.5667,101.07,12,33,3.62,NG,2021-03-29 15:44:58
68,Thunder Bay,48.4001,-89.3168,37.99,69,90,17.27,CA,2021-03-29 15:40:20
69,Fort Nelson,58.8053,-122.7002,1.4,71,75,1.05,CA,2021-03-29 15:39:38
70,Sambava,-14.2667,50.1667,80.62,81,99,1.12,MG,2021-03-29 15:44:59
71,Lagunas,-5.2269,-75.6753,73.53,98,100,1.52,PE,2021-03-29 15:44:59
72,Jamestown,42.097,-79.2353,34.0,74,90,13.38,US,2021-03-29 15:43:33
73,Hithadhoo,-0.6,73.0833,84.2,75,100,23.47,MV,2021-03-29 15:43:36
74,Dikson,73.5069,80.5464,-25.83,99,6,7.74,RU,2021-03-29 15:43:43
75,Grindavik,63.8424,-22.4338,32.0,69,75,19.57,IS,2021-03-29 15:44:59
76,Mar Del Plata,-38.0023,-57.5575,66.2,68,20,13.8,AR,2021-03-29 15:39:28
77,Siderno,38.2779,16.302,66.2,42,68,14.97,IT,2021-03-29 15:45:00
78,Tual,-5.6667,132.75,81.57,75,95,6.11,ID,2021-03-29 15:44:03
79,Takoradi,4.8845,-1.7554,84.15,72,14,11.54,GH,2021-03-29 15:45:00
80,Taoudenni,22.6783,-3.9836,96.6,4,41,12.39,ML,2021-03-29 15:45:00
81,Saldanha,-33.0117,17.9442,78.8,44,2,6.91,ZA,2021-03-29 15:44:43
82,Georgetown,5.4112,100.3354,84.2,74,20,1.14,MY,2021-03-29 15:40:16
83,Tutoia,-2.7619,-42.2744,87.8,66,40,13.8,BR,2021-03-29 15:45:01
84,Oistins,13.0667,-59.5333,82.4,61,40,24.16,BB,2021-03-29 15:45:01
85,Ahipara,-35.1667,173.1667,65.86,96,100,5.66,NZ,2021-03-29 15:43:45
86,Lata,40.1629,-8.3327,73.99,41,99,8.68,PT,2021-03-29 15:45:01
87,Bluff,-46.6,168.3333,51.01,95,100,4.92,NZ,2021-03-29 15:43:50
88,Upernavik,72.7868,-56.1549,-2.79,57,94,5.41,GL,2021-03-29 15:44:05
89,Kapaa,22.0752,-159.319,73.4,78,90,14.97,US,2021-03-29 15:43:37
90,Asyut,27.181,31.1837,69.8,43,0,18.41,EG,2021-03-29 15:44:09
91,Pestravka,52.405,49.9583,26.31,96,56,8.08,RU,2021-03-29 15:45:02
92,New Norfolk,-42.7826,147.0587,52.0,63,95,3.0,AU,2021-03-29 15:44:06
93,Kiruna,67.8557,20.2251,33.8,80,75,14.97,SE,2021-03-29 15:45:02
94,Punta Arenas,-53.15,-70.9167,44.6,93,90,6.91,CL,2021-03-29 15:42:24
95,Jawhar,2.7809,45.5005,82.26,71,16,20.76,SO,2021-03-29 15:45:03
96,Yellowknife,62.456,-114.3525,-5.01,65,75,14.97,CA,2021-03-29 15:41:51
97,Codrington,-38.2667,141.9667,52.07,80,33,4.07,AU,2021-03-29 15:43:41
98,Contai,21.7786,87.7536,80.98,82,27,16.51,IN,2021-03-29 15:43:27
99,Kovdor,67.5662,30.4758,32.94,97,100,10.89,RU,2021-03-29 15:45:03
100,Garoua Boulai,5.8833,14.55,88.21,23,20,6.06,CM,2021-03-29 15:45:04
101,Nelson Bay,-32.7167,152.15,64.4,94,90,10.36,AU,2021-03-29 15:45:04
102,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,20,9.22,CA,2021-03-29 15:44:28
